train_abhvpptixv|tao lấy trứng dái đập hả m con lol :)
train_bqmpdpifgc|Địt con mẹ tổ cụ con chó súc vật nào ăn máu L à mà ngu . . Sang tháng 4 . . Tất cả các tuổi mày nói sẽ xấu như mày nói . . Tổ cụ con đĩ mẹ mày ngu như súc vật . . Mỗi con người chúng ta có vận hạn tốt hay xấu . . Đều do duyên nghiệp nợ của mỗi người từ đời trước . . Ăn ở ntn thì đời này sẽ nhận lại . . Chứ cái địt mẹ con cụ tổ con chó ngu viết ra cái này là để dọa người . . Địt tổ cụ cả lò nhà mày <URL>
train_xwycufpqdq|T cũng thích m10 lắm nhưng mà fan m10 với fan bà xã thì 10 thằng 5 thằng ngu như chó . 5 thằng còn lại thì ngu hơn cả chó :)
train_ctuibkkcmw|Mấy thằng chó này nó có học đâu mà nó biết phát biểu phát biểu tầm bậy cho dân chửi nhục lắm đố chó
train_fzmiaofaon|Nhiều thằng thích được làm phiền như vậy mà còn đéo có nữa nữa đó thằng ngu ngục .
train_vcjprmhkph|Loại c trau này khốn nạn vl
train_txbdfpoiuj|😏 khi nào cố nội mày biết dạy lại thằng cha mày đi rồi hãy nói với thằng con như mày THẰNG CON NGU
train_stxtlxuqfb|Tân Kỳ Quái t cũng ghét thằng nj vl
train_nsgimfzbcw|Nhắm mấy em xinh xinh mà chụp anh chị ạ ! Mấy bà đó có tiền mua trà sữa check in chanh sả ! . Chứ làm éo có tiển mua thuốc trị bệnh óc chó
train_fjqiuqcbes|Đừng tưởng người ta ko biết nha . . . Lớn mắt ma thì nhỏ mắt dại lại à 😕 😕 . A đéo tôn trọng tôi . Thì tui cũng đéo coi a ra cc gì đâu . ĐM . . . <URL>
train_bhyngjrgcg|Thằng này ngáo , chất thải gì ? Chứ không phải như hắn nói ! Ngu hơn con bò !
train_walmkglatw|Mạnh 🙂 🙂 nếu là t trc kia thì m ăn táng r đéo codn chửi bậy nx đâu nhé
train_ubcnmywnmv|Ngọn Nến Lung Linh tao chả cần hiểu làm đách j mầy là cái quái j mà dạy đời tao
train_ezvyuvjjkz|Huỳnh Đạt a không hề nha , chỉ cò bi đuôi bỏ nhà đi , ăn cắp cái đầu đĩa đem bán , viết thư xin lổi ông già nó ak kkk
train_tlwtyvdypi|Đm mấy thằng cười trông bựa vl
train_ppadokrucy|Bé bảo họ xàm l nhưng bé vừa nhãm l vừa xàm l . Bé là một đứa trẻ ranh bẩn thỉu miệng mồm sủa đéo biết ngại
train_strdotymdd|Mẹ nó . Chửi nó thì nó nói phản động . Mà ko chửi thì bức súc . Chó chết
train_jpcwcwsxcy|Lồn nếu đổi lại thì m đéo gáy à , câm đi mà ăn mừng , làm như thiện chí lắm tốt đẹp lắm , bọn lon chúng máy dám chắt là k gáy k , t chả muốn cmt vì sợ chúng mày bảo là đag cay cú , nhưng . . . mà kệbọn lon chúng mày muốn nói gì nói
train_bsnorveujx|Thanh mày câm Đi ko tao bảo chồng tao đấm chết đấy
train_gursikcgly|để con gái chủ động như thế thì đéo phải đàn ông cmnr
train_bvalmwxoyh|Haizzz thằng phò cảm thấy ham bóng vl
train_scmqqlcfpt|like like địt mẹ mày . . . kb kb địt bà mày . . . link link địt cụ mày
train_hnbeedhxtf|Minh Tri Le Hoang đéo phải mấy thằng ngu tụi m ăn đc cái TD chui ra hang ẳng trước à :) giờ giả ngu nhanh vậy 😂 😂 tao đéo thèm chữi 2 tháng nay đợi gộp sv rồi , tụi m tuổi gì , ẳng thì tao khâu mồm thôi 😉
train_keaoebmuwi|Con đĩ cục súc vl :)
train_ofynidbkwa|Hỏng biết :) chỉ biết vì t mà m cong vẹo nhưng đm m đéo ngoan :)
train_qfnlxfzyne|bố mấy cái thằng vào chửi . . ngta nói đúng cm chúng mày rồi còn chửi bố mấy thằng óc Chó
train_qnodgavmjf|dm . ke giet nguoi la tuc thoi , suy ngi nong can . con dit con me may thag dua tin ntn moi la ke sat nhan . ngu nhu cho .
train_lgmxqpccau|Vu Tran đúng là óc chó . Chỉ đưa ra câu hỏi , bị hỏi lại thì cứng cmn họng xong lại hỏi câu khác . Ngu thì câm cái mõm lại để người khác đỡ chửi mình ngu nhé !
train_mopouibcpa|Bè lũ một mè , đúng nghĩa khí giang hồ đàn anh luôn bảo vệđàn em . Người tốt thành kẻ xấu , trộm cướp thành dân lương thiện còn lãnh đạo làm con heo ngu lồn bán nước hại dân
train_ugusjcmdna|Xin nhắc lại . Nếu đã là bạn bè chơi với nhau thì đừng khinh thường nhau . Còn nếu đã ko tôn trọng nhau thì cút hộ tao . Tao cũng đéo cần .
train_leehkzizif|Sỡ Kiếm Anh m nói cái lồn j thế . Đm auturo , messi , stergen r đến sergio hôm qua đá hay vãi lồn . Đm thằng nào ngu m ngu ý thằng lồn ạ
train_pjtnbntvrc|Trang Hà uar , cãi nhau mắc đéo gì lôi Red Velvet vào ? :) Vậy giờ tao nói fan BLACKPINK mà phát biểu ngu thì mày chửi tao à :)
train_eijosjoqof|Bộ mày bị đui hả chủ xe . . . 1 cái đã sáng . gắn bao nhiêu đó mù mắt người đi ngược chiều . . . ngu như chó
