train_jnuoftckev|Thằng Bựa yếu đuối vl :)
train_mbwzsfpzva|Hiểu Nghi nhìn cái muốn đẻ vl
train_miziztcksy|Hồng Ngọc dm hãng này chắc đau đầu vl
train_iavckckqcw|đm thề nhọ vl
train_xzewrogjtm|Sơn Trần game khó vl
train_wzhedojrrq|Chua vcl . 😑
train_dweokyiusl|lừa đc mình xong chặn cmnl . bố theo chúng mày . thông báo cho mn biết hết lừa luôn <URL> Đã có 1938193 khách hàng . Khách đã tin tưởng sử dụng SIM
train_rfnizsfmyc|Đm khinh nhau vl
train_qfixhrelfp|Tao đính chính lại là tao đéo ngu nhé :)
train_hieabrwtsb|:) làm éo gì đến lúc đó d . m đời tao khổ vcl
train_zrzypewabv|Lưu Thành Công eo ôi Công lấy vợ sớm vl
train_ajorocsmvo|t đây , có môn đ cần ôn vẫn qua môn , nể t vl :)
train_tipvyedlxl|Cắt dây màu đen kia nè . . . Ngu vl
train_tozwjkiuac|Trâm Trâm nhìn dơ vl
train_cwbjogkucj|Dân mạng ác vl .
train_kqseaqesvg|Trần Mỹ Linh dm hình bí mật mà :)
train_hkvemxofdj|Triệu Phương lol m tởm vl
train_kxqphuheua|Kelly Nguyen đm thuốc tăng cân hiệu quả vl
train_ydfyfbvmmk|Đcm vcl =)
train_ewnlkvocge|Rỗi lại vỡ mồm con chó . Ngu ngốc
train_sakrywzzdc|Lạ lùng vcl :)
train_mitulpoqif|Làm như phụ nử là tiên hay thánh . . . . . . hảy nhìn lại mình đi cát bụi vẩn là các bụi phụ nử cũng là một con người như mọi người khác . . . . nếu nói cho chính xác chuyện gì mà làm xấu xa nhục nhả nhất cho cha mẹ ông bà tổ tiên là ai là phụ nử . . . nhưng hở nói ra thì nấy chị nói đàn ông là xấu nhất làm như phụ nử có giá lắm vậy . nhưng rớt giá rồi cục cứt người đời còn nhìn chớ cái mặt rớt giá ko ai nhình đâu . . . . . . . ngồi mà ngẩm lại đi . . . . . chớ đừng hở ra chú tâm mà chưởi đàn ông . . . .
train_mltlykvhia|Pé Nhi zậy là m xì hơi rồi đổ thừa hả m ? Zu khống hả m
train_fdgiakgzyx|Đm bực mk vl
train_ckzlpynhvq|nhìn cưng mà bẩn vl
train_ieuhdinnyi|Dcm tởm vl bệnh hoạn vl
train_gjlauvvwvm|Đm a66 khôn vl
train_mixxgddkom|lz tởm moày :v
train_fpdxwfwdmo|Đức Phúc bn xàm vl
train_vsdqeagjjb|Dmm , nhục nhã vcl
train_byqhbaqpdq|Đổ vỏ chứ gì . Tao đéo ngu =)
train_rfjvjdofgf|Trần Nga đell ai rep tội vl
train_gapriimzmc|Nhìn như lũ nghiện vl
train_ffriroemzn|chó chó chó . . . ngu như chó :)
train_bjfppviljd|Dường như tao cười nhiều qúa 😊 . Nên đến khi buồn thì đéo ai tin 😩 😩 <URL>
train_jgtfhwdnkp|Rì sọt nó cũng ra gì vl - _ -
train_ndyzzpzwti|Vừa khỏi xong nhục vl
train_wwqwcceudw|🙄 😣 khó ưa vl
train_phkxyucxxo|Nhii Yếnn hụt hẫng vl 🤧 🤧
train_svelgtdsjd|Xàm và nhạt vl
train_nrfxbroeyg|Huy Hoàng phế vật mới vl :)
train_dsilvpxhuu|Nghèo thì sao nghè kệtao nghè thì sao nghèo kệbố tao
train_ipaqooaksz|Ny tôi cục súc vl raaaaaa ; ( ( (
train_kdzgfknxxh|Mục đích sống là để làm hài lòng bản thân chứ đéo phải sống cho vừa lòng thiên hạ ! . # Đuối ! 😩 😩 <URL>
train_bcgmqhnrnq|Ngoan Chau ngày đéo nào mày cũng chửi tao như chó :)
train_kajerfyykm|Nhỏ lo chơi giờ ngu tin học . . . học lại nhứt đầu vl
train_mjszitzdnz|Tại sao tao lại đél có . Bất công vl
train_qjowqbhozf|🙂 🙂 🙂 🙂 sau 2 lần mình tự đặt tất cả niềm tin vào người khác và bây giờ đéo muốn tin ai nữa 🙂 thấy dối trá vl
train_ztbzuqaocg|Đạt Đạt cặc sướng vl
train_vkcnqapdjj|Bán thêm xì ke hoặc làm đỉ đực ban đêm nha
train_jcjwypbvox|Cái Đm xấu như cún mà hể vác thây ra đường là bị ghẹo . Méo hỉu ? . 🙄 Cứ e ơi bồ đâu a đưa về . 👀 Rồi lại e ơi nhà ở đâu . Trời đụ bộ nhìn tao giống ế lắm à 😕 . Đm chị là chị có ck con luôn rồi nha chị ko Ế ok Dii Tánh Nghộ ífeeling annoyed . <URL> Photófrom Dii Tánh Nghộ ' s post
train_uvlhlsekcz|Vãi lìn phòng con gái gê vl
train_cdtxiijmxe|BèôBèôgiống vkl
train_spejtsgtmj|Cục xì lầu ong bê nắp . Nhà mình nghèo đi xe bus . Kệmẹ bọn đi xe khách . Đầm già xì gặp quy ka át . Cả nhà mày bị phong tê thấp . Bò một sừng là con tê giác . Thằng Luân là con tê giác . Thằng Luân nhiều sừng hơn con tê giác . . . 😛 😛 😛 Hoàng Lộc íwith Thành Luân .
train_yvlzpxpqiv|Sau không mua Bcs nhĩ thằng nầy ngu vl
