,name_ft,probability
0,đm,0.022101592515654564
1,đéo,0.013878196967374874
2,ngu,0.012311235134547347
3,lol,0.0090983969906387
4,vl,0.007901162170491846
5,mày,0.006948916924336418
6,dm,0.0062788404530375545
7,ngu vl,0.0059682160603373915
8,chó,0.005243799887686335
9,vcl,0.004344282823510084
10,ngu như,0.003232958737581048
11,đcm,0.0027638460545367444
12,con,0.0026724469198050865
13,nó,0.002238727289237557
14,url,0.002173988231574172
15,thằng,0.002170569904424353
16,đĩ,0.002136383022945709
17,đụ,0.0020232032112337496
18,chịch,0.0019181464837433417
19,tao,0.0017310786068119362
20,mẹ mày,0.0017224102569766986
21,vkl,0.0017184628939018493
22,nứng,0.0016507124596087982
23,lồn,0.0016499824718331248
24,cc,0.0015849842075944046
25,vãi,0.0015640947141852754
26,địt,0.0015382154200528227
27,photos from,0.0014547941681286986
28,tao đéo,0.0014503425490795556
29,cũng đéo,0.001442728002339133
30,bọn,0.0014086135228460377
31,cáu,0.0013820830119894531
32,đmm,0.0013615412264028205
33,nguyễn đm,0.00134273203183846
34,chửi,0.001310732790926795
35,óc chó,0.001308632098851393
36,địt mẹ,0.0012986905133009839
37,đéo phải,0.0012167176859024134
38,cái lol,0.0011851483952960993
39,mặt,0.001181715168645452
40,óc,0.001136774203605539
41,đéo có,0.0011245089733387607
42,đéo hiểu,0.0011038651376687144
43,dell,0.0010536394116046333
44,lũ chó,0.001021811399583385
45,éo,0.0010075337286487049
46,đm vl,0.0010058901697219947
47,đm cay,0.0010026744082149049
48,như mày,0.0009999923118338306
49,chó ngu,0.0009449639912768925
50,ngu lol,0.0009376190656937265
51,kinh vl,0.0009366588222967662
52,ức chế,0.0009182261496720315
53,from,0.0009159221576068906
54,như chó,0.0009150165595916756
55,mồm,0.0009104618475864254
56,cút,0.0009087545504134299
57,ngu ngu,0.0009041776741127263
58,ngứa,0.0009014467400789214
59,đau răng vl,0.0008692516680624558
60,ngu hơn,0.0008587362313944097
61,đm chuẩn,0.0008578087651231369
62,chúng mày,0.0008564031301043159
63,chết,0.000853174433507189
64,added,0.0008484363976462067
65,đéo ai,0.0008319882945325964
66,lợn,0.0008276717489525025
67,ad,0.0008244246794150559
68,tởm,0.0008197147691281121
69,dkm,0.0008192226075844983
70,nhà mày,0.0008143071126854639
71,mà cũng,0.0008107531635923721
72,mồm ra,0.0008001021580286514
73,thề,0.0007954380951690758
74,lắm thằng ngu,0.0007637369867161084
75,cl,0.000751438493702707
76,dit,0.0007389897397868092
77,chuyện,0.0007349707415142323
78,mà đéo,0.000729777206424484
