text_data,predict_weight,predict_label,true_label
100 thằng đàn ông ra đường có bồ k bao giờ bỏ vợ con . . 1000 phụ nữ ra ngoài có bồ chắc chắn bỏ chồng đủ 1000 . Bởi vì đàn ông ra đường méo có gặp dc đứa nào tốt hơn con vợ o nhà . Còn phụ nữ ra đường cả đống thằng tốt gấp 10lan thằng chồng o nhà . . Phụ nữ có xinh có đẹp có hiền ngoan hay k là do ở thằng đàn ông ! ! . Nguồn : coppy <URL>,[9.9699358e-03 4.6220694e-07 1.7671249e-05],0,1
Đcm . Nó lại khớp vl Danh Hoang,[9.9584681e-01 2.9557645e-03 3.8735039e-04],0,1
Khùng . :v,[0.5621893  0.01734554 0.00373411],0,1
Thằng chủ tus tranh luận tỏ ra hiểu biết . Nhưng thực chất chả biết đầu cu gì . Phân tích nguy hiểm vl,[1.4498504e-01 5.4076254e-06 3.8574672e-05],0,2
Ngọc Ngân làm đĩ cx p có học . toán để tính tiền đi khách . hoá để xem khách có dùng chất hoá học k . học văn để gọi khách =),[0.9943832  0.00593771 0.07393925],0,2
Ngân Týt láo lếu vl,[0.9932954  0.98119926 0.9622191 ],0,1
Muốn giết ny nó vl 😑,[0.999551   0.990238   0.06810474],0,1
Nhắm mấy em xinh xinh mà chụp anh chị ạ ! Mấy bà đó có tiền mua trà sữa check in chanh sả ! . Chứ làm éo có tiển mua thuốc trị bệnh óc chó,[9.9993217e-01 1.0496542e-04 3.6507074e-05],0,2
mày đụ tao muốn nín thở luôn . dkm nóa vl,[0.16865772 0.22404072 0.60435826],2,1
Thăng cho nay phat biêu ngu vl,[0.89795727 0.05901479 0.02640031],0,1
Chịch xong r đi ỉa hp vl,[0.38815764 0.09080914 0.01707774],0,1
Ngọc Hoa hung như chó mạ chớ đó mà kh hung,[0.99332047 0.32637507 0.518505  ],0,1
Muốn chửi tục qua . tức vl,[0.4770386  0.04081635 0.00601032],0,2
"Bỏ cái tật thấy điện thoại chị mày là đè ra hãm hiếp đi nha con kia , úp cho mày dừa . . . . Điện thoại chị mở lên toàn mặt mày ko 😑 😑 😑 yêu nghiệt . . . Bảo Ngọc is with Thố Tiêu . <URL> ?",[9.9406058e-01 4.2176561e-04 1.9582457e-04],0,2
Phan Hoa nghe cách trai thẳng dạy tán trai nè,[0.13702068 0.05463063 0.25751942],2,0
:) chán bọn tàu vl,[0.04853946 0.02712568 0.1601293 ],2,0
Đúng làcha mẹ ngu đẻ con ngu luôn,[0.29831836 0.30691937 0.17756751],1,2
Ủa lừa còn cm làm chi v loại thất đức mới lừa nhé ib chơi chơi á bà rảnh háng quá mà đời lắm đứa thối mồm nghen,[0.9834804  0.05169901 0.4822072 ],0,2
"hàng về bổ sung , . sục đi mưa , sục nội nước . giá rẻ tụt lol <URL>",[0.51452863 0.0148237  0.00097377],0,1
Chứ đóng tiểu xây dựng trường ai đóng mày ? Chúng mày nói ngu thế ?,[0.01831408 0.00210908 0.00570035],0,2
cô dâu xấu chết mẹ . . bày đặt tiểu thư danh giá dm . chả lẽ sông phi vào mặt chết cmm <URL> Tʜái ƌộ ‘bánh bao hấp nước’ của cô dâu trong lễ cưới gӓy ᴛrαnh cӓi : Trả hàng về nơi sản xuất gấρ ! . Khi chú rể đang ‘nựng’ má hôn cô dâu thì cô đáp lại bằng gương,[0.82731366 0.2971147  0.23798911],0,2
Chú Có Chơi Đồ KHÔNG mà NC ngÁO nGáo Vậy :D Thanh Tan Nguyen is feeling determined .,[9.9986100e-01 2.0754937e-04 3.1959912e-04],0,1
Ngy t đi với t còn đéo mặc áo lót cơ =) bây h thành cũ cmnr :(,[0.95306975 0.20556311 0.0121758 ],0,1
Có cl ấy tin người vl,[0.74594206 0.3093408  0.17150995],0,1
Học đ mẹ . Khó vl .,[0.9958396  0.6835575  0.59310114],0,1
Vũ đạo tét mông :),[0.99915135 0.9773512  0.66172564],0,1
"Đất nước 90 triệu dân - kg có người tài sao phải dọa trung quốc vào , đúng là lũ ngu lãnh đạo - làm đã ngu mà nói còn ngu hơn",[0.01422673 0.00107254 0.01165763],0,2
Vl phế vật :),[0.84719336 0.0230729  0.00680949],0,1
Trần Thiên Tử thằng nào sl sl là đm bật nhẹ lên,[0.00030176 0.00027121 0.00019644],0,2
Hiểu Nghi nhìn cái muốn đẻ vl,[0.80945593 0.13579904 0.04247861],0,1
Minh Cadillac fan barca ko có loại ngu như mày . Cút,[0.99209046 0.08639136 0.00829656],0,2
Tao trân trọng nhắc lại . Đây không phải là quà sanh nhựt . Đây là thứ bịt miệng mày để mày khỏi lèo nhèo mỗi khi tao vẽ . =) . P . s : idea cover from an artist . Đan Hạ is with Na Na . <URL> ?,[1.5735342e-01 2.7853750e-07 6.5583237e-08],0,1
Phát Đào binh định ngu vl,[0.92932636 0.00470232 0.00719363],0,2
"Thành lập 1 nhóm đưa ace vào bờ tại fb . Chỉ vào tk và k có mua bán j tại nhóm . Đúng 18h05 sẽ chốt số . K yêu cầu đăg nhập link , k yêu cầu phí . Ai muốn vào nhóm inbox để đk thêm vào nhóm . Hóng thì cút và ăn trứg cút để đk cút",[9.9995327e-01 3.0537332e-05 6.1702813e-06],0,1
Rì sọt nó cũng ra gì vl - _ -,[0.9027822  0.09081888 0.05520967],0,1
Có nụ cười toả sáng vđ :) tại sao bố đ’ có mà nó có vô lí,[0.9939036  0.03416708 0.0043307 ],0,1
Trend nhiều nhạt vl,[0.41735297 0.03694881 0.00801277],0,1
Để tao coi thang lon đó thuong may co nào . Đau của may chua oc cho hay gì ma ngu dan ngu đon vay,[6.9264746e-01 1.8899898e-05 2.2794917e-04],0,2
Thề vs ae rep comment mấy đứa gáy sớm hấp dẫn vl,[9.6699655e-01 2.6881994e-06 2.7094561e-07],0,1
Biến kém vl :),[0.5272784  0.20677307 0.02351072],0,1
Nguyễn Khắc Thành dkm . =),[0.9543946  0.02306007 0.00352952],0,1
Hà Monn 🙂 ôi sợ vl . . . .,[0.9987068  0.9493274  0.79728395],0,1
Vn hoá thành con rồng lộn à ? . Đm cho dân ăn bánh vẽ mấy chục năm mà cứ vẽ hoài . Chúng mày bàn sao cho vơ vét càng nhanh càng tốt để chuồn qua Mỹ thì còn nghe đc . Đm lũ chó lợn !,[1.4551458e-09 5.6521511e-01 2.2161874e-01],1,2
"K đồng ý thì đừng cưới còn đã xd cưới thì phải yêu thương nhau , sử xự như vậy bị ăn đấm đáng đời tội ngu",[8.1958174e-04 3.1802185e-05 9.9552744e-07],0,1
buồn ỉa vl :),[0.99073887 0.9927757  0.88706356],1,0
Nguyễn Đức Chung d m cút cút,[2.2129100e-04 9.9171656e-01 9.9978501e-01],2,1
Nguyễn Nam Anh Đm dỗi vl =),[0.00037605 0.03533534 0.082647  ],2,1
. . . thấy như phụ khoa ấy . Dị vl ! !,[9.9953866e-01 1.2684815e-01 1.9482948e-04],0,2
Đẻ con m cũng đẻ hộ vợ à thằng cù loi :) . Xạo chó xạo chó :),[0.35572973 0.01821306 0.15920338],0,2
"Ví dụ Chồng tao lúc yêu còn cho tao đi ăn BBQ chứ thịt đc tao rồi thì tao rủ chồng đi ăn BBQ thì nó sẽ trả lời là "" "" ĐÉO "" "" . Không kể nhưngx lúc tao có lơx mồm n còn cho k trươtj phát nào . Đan ông đàn bà , đàn nào chẳng là đàn .",[8.6701654e-02 3.9842325e-05 4.4336572e-04],0,2
Trần Khánh Vân clm :) cười vl,[0.62330645 0.3571175  0.00682652],0,1
Miệng tao nè 🙂 đ biết nên vui hay buồn Bong Kim,[0.76471734 0.73024815 0.81742233],2,1
"Trần Công Nhật Chú mày đéo biết đùa à , nghiêm túc vãi lol :)",[1.4837927e-08 4.3731438e-06 1.0192135e-03],2,1
Chửi đúng vc . Dỗi dỗi qq ai rảnh đi dỗ quài ba,[1.02743665e-02 4.58631221e-05 8.65773764e-05],0,2
ngu vl :v,[0.9240113  0.4762271  0.17833808],0,1
Mấy đứa súc vật hay ăn thịt đồng loại Sư Tử <URL> Lâm . Xin mọi người đừng ăn thịt chó 😔 . # Danongbui,[9.165419e-01 9.981876e-04 3.334399e-04],0,1
Tất nhiên là của ng tao thương r hỏi ngu vkl :),[0.9954691  0.7638354  0.85168135],0,1
"Hiep Nguyen <URL> Tâm . NGHE MẮC ỊA . . 👉 Thế căn nhà 240 Pasteur , Tp . HCM cho thuê 418 . 000 . 000vnd / tháng là ai hy sinh cho ai ? . 👉 Thế 64 chiến sĩ Gạc Ma vì ai mà chết . 👉 Thế thằng nào sau cuộc chiến tranh Biên Giới và Gạc Ma 1 năm sau liền chạy qua liếm cứt thằng Trung cộng để cầu được ban giao . 👉 Thế thằng nào lộng ngôn nói địch bắn 1 một viên đạn ta bắn lại bằng hữu nghị vv . . . 👉 TAY NHUỐM ĐẦY MÁU ĐỒNG BÀO MÁ MỒM CỨ ĂNG ẲNG NHƯ LŨ CHÓ HOANG NGHE MẮC ỊA",[9.8309290e-01 4.4021958e-06 2.3270815e-05],0,2
Do súc sinh Sao sét kg danh cho may chết trước me may di,[0.38453734 0.00147322 0.00892928],0,2
"Thế mấy chú tưởng VN dễ ăn lắm akkk , vê Han phau thuat lam gai het di",[0.9912896  0.02996495 0.11793876],0,2
"Dm , dở hơi vl - . -",[0.9980451  0.97086143 0.48309076],0,1
Nguyễn Thiệu m sắp thành fans cứng oy,[0.9578602  0.9259039  0.97810376],2,0
